Cell Index,ce_z_in_pix,ce_x_in_pix,ce_y_in_pix,type,subtype,in_nu,polar,rna_ave_dis,cell_radius,cell_volume,nu_volume
0,147.84,514.0,462.0,other,other,0.3142857142857143,9.4272293417114,30.623013797315927,45.36529951405589,0.0,67173.12
1,90.72,436.0,434.0,Glial,Glial-Microglia,0.4482758620689655,14.318237690402343,32.32841602825616,51.630208211859845,126816.48,95266.08
2,161.28,226.0,56.0,Ex,Ex-6b,0.53125,8.326333320405807,28.521275908648228,48.74841946155793,82246.08,91318.08
3,120.96,572.0,538.0,other,other,0.40425531914893614,2.3031034232094743,31.57717192744838,46.711065070280725,0.0,84631.68
4,215.04,92.0,584.0,other,other,0.5357142857142857,7.0968325789088205,27.134340870715466,44.37098601563864,0.0,68812.8
5,154.56,520.0,282.0,Ex,Ex-6b,0.38235294117647056,9.544228513812726,31.875690589297125,62.75372180197761,186537.12,74390.4
6,94.08,372.0,180.0,Glial,Glial-Astrocyte,0.45614035087719296,5.793792498647997,29.746222754049814,59.66824616158917,187800.47999999998,69867.84
7,120.96,600.0,184.0,Ex,Ex-6b,0.4142857142857143,9.121402344743602,31.02063386688886,52.881849438157886,147033.6,72938.87999999999
8,107.52,374.0,536.0,Ex,Ex-6a,0.45161290322580644,9.23325384048499,26.659572545413237,42.35339419692358,67697.28,68335.68
9,73.92,410.0,532.0,Ex,Ex-5,0.35294117647058826,6.5870654423550405,31.828520332502958,41.511328574257895,108857.28,79000.31999999999
10,174.72,174.0,480.0,other,other,0.375,7.670101132898395,29.30472212501293,42.755584430574686,0.0,61437.6
11,174.72,356.0,420.0,Ex,Ex-2or3,0.2619047619047619,8.802565385705142,33.74822144045893,55.772695828693806,219696.96,69565.44
12,154.56,510.0,104.0,Ex,Ex-6b,0.25,7.937737590851988,32.923486955018,51.81768424003528,169068.47999999998,74168.64
13,191.51999999999998,576.0,492.0,other,other,0.43243243243243246,9.064021878964784,34.244647630520305,50.02137942920007,0.0,66081.12
14,87.36,564.0,152.0,Ex,Ex-6b,0.375,6.4416602118337885,31.530857981739246,54.801916024898254,175922.88,82931.52
