,z_in_pix,x_in_pix,y_in_pix
0,44,514,462
1,27,436,434
2,48,226,56
3,36,572,538
4,64,92,584
5,46,520,282
6,28,372,180
7,36,600,184
8,32,374,536
9,22,410,532
10,52,174,480
11,52,356,420
12,46,510,104
13,57,576,492
14,26,564,152
15,62,586,204
16,52,400,72
17,44,490,512
18,54,144,544
19,41,114,300
20,68,130,68
21,42,60,336
22,24,608,360
23,27,492,436
24,65,128,352
25,38,350,372
26,47,224,388
27,20,320,580
28,17,494,76
29,67,250,28
30,20,570,326
31,22,476,288
32,21,356,138
33,70,144,576
34,64,304,96
35,54,380,348
36,30,242,442
37,24,236,588
38,46,500,384
39,38,484,224
40,54,152,416
41,69,412,140
42,40,526,220
43,29,508,146
44,52,186,22
45,67,422,558
46,28,596,108
47,64,272,448
48,66,60,166
49,65,164,98
50,28,286,38
51,70,428,458
52,33,202,526
53,28,46,352
54,36,284,220
55,30,444,128
56,60,282,214
57,20,50,290
58,26,268,488
59,68,336,36
60,33,194,132
61,48,146,338
62,58,144,292
63,37,104,96
64,38,228,220
65,47,606,188
66,50,136,460
67,62,340,66
68,71,304,288
69,35,260,402
70,48,354,32
71,32,416,78
72,18,538,84
73,60,280,66
74,61,552,332
75,53,170,220
76,42,74,504
77,30,490,76
78,55,238,234
79,62,216,134
80,50,62,604
81,20,274,228
82,53,28,30
83,20,120,26
84,69,240,116
85,33,452,288
86,59,512,210
87,17,226,376
88,46,320,488
89,62,98,412
90,66,452,216
91,55,562,398
92,70,574,262
93,33,396,20
94,45,20,96
95,58,416,132
96,24,320,358
97,24,556,612
98,38,318,494
99,67,370,68
100,65,350,320
101,30,234,20
102,66,18,308
103,41,180,84
104,72,134,186
105,67,258,194
106,57,544,84
107,69,496,556
108,44,224,98
109,17,446,260
110,41,438,460
111,28,302,612
112,53,252,544
113,24,390,412
114,61,252,524
115,16,242,172
116,17,608,452
117,54,46,352
118,65,494,64
119,60,368,132
120,53,84,440
121,53,60,524
122,38,448,32
123,22,190,310
124,34,268,466
125,16,230,130
126,18,18,612
127,17,296,424
128,20,74,148
129,71,412,22
130,59,498,532
131,46,512,344
132,57,370,284
133,16,544,340
134,54,424,596
135,50,8,308
136,31,96,376
137,54,506,360
138,24,410,266
139,22,476,122
140,18,606,400
141,17,14,538
142,58,516,250
143,22,136,412
144,65,226,578
145,59,548,564
146,16,82,432
147,18,356,266
148,36,36,80
149,15,384,358
150,37,8,56
151,19,36,106
152,36,286,72
153,62,420,304
154,30,18,420
155,56,18,336
156,16,370,496
157,22,258,318
158,62,248,564
159,45,28,162
160,40,310,308
161,18,386,266
162,16,560,436
163,21,290,328
164,20,26,246
165,36,8,150
166,15,552,488
167,36,488,534
168,64,98,444
169,46,372,562
170,15,206,572
171,15,156,532
172,31,460,372
173,15,224,414
174,63,10,216
175,38,262,330
176,26,74,368
177,15,14,166
178,23,36,396
179,64,56,552
180,69,116,436
181,70,114,202
182,49,64,472
183,16,604,340
184,19,18,418
185,17,72,116
186,24,30,438
187,19,444,168
188,19,220,320
189,20,506,176
190,64,526,12
191,19,384,94
192,48,4,188
193,19,494,16
194,40,250,940
195,28,262,740
196,59,554,672
197,58,56,696
198,30,564,770
199,63,532,706
200,34,410,610
201,36,570,670
202,47,70,1076
203,48,316,924
204,40,236,1024
205,67,314,704
206,36,500,924
207,52,26,666
208,60,116,1072
209,64,112,852
210,25,148,626
211,36,300,796
212,58,242,1016
213,38,602,988
214,67,362,936
215,53,70,984
216,49,550,968
217,22,530,912
218,51,258,800
219,36,562,882
220,26,406,982
221,52,546,920
222,53,340,616
223,69,268,820
224,56,432,896
225,60,258,676
226,50,504,990
