Cell Index,Gapdh,Slc1a3,Slc17a7,Snap25,Rasgrf2,Rgs4,Prox1,Plcxd2,Vxn,Pcp4,Nr4a2,Ctgf,Gad1,Gad2,Pvalb,Sst,Vip,Lamp5,Aqp4,Apod,Plp1,Cx3cr1,Pmch,Gfap,Cck,Mbp,Rprm,Enpp2,Nov,Rorb
0,7,1,1,4,0,3,0,0,5,5,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,1,0,2,1,0
1,9,0,3,16,2,0,0,1,5,6,0,1,0,0,0,0,0,2,0,0,0,3,0,0,1,3,0,5,1,0
2,6,0,1,13,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2
3,14,3,2,13,0,0,0,0,3,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,6,1,0,0,0,0
4,4,0,2,11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,2,0,0,0,0
5,16,0,1,8,0,2,0,0,8,14,0,9,2,0,2,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0
6,12,3,1,10,0,0,0,1,4,17,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,1,0,2,0,0
7,6,1,0,15,1,2,0,0,5,11,0,12,2,0,0,0,0,0,0,0,1,3,3,0,3,1,1,0,3,0
8,4,0,1,16,0,1,0,0,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,15,0,2,4,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0
10,15,0,1,10,1,2,3,1,3,6,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,2,0,0,0,0
11,5,0,1,24,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,2,0
12,11,2,2,10,0,0,0,2,5,9,1,6,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0
13,6,0,3,12,0,1,0,1,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0
14,18,0,4,12,0,0,0,2,11,15,0,12,1,0,0,0,2,2,1,0,0,3,2,0,3,1,0,0,5,2
15,2,3,3,17,0,0,0,0,3,8,0,8,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0
16,2,0,2,10,0,0,0,0,4,5,0,5,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,1,3,0
17,7,0,2,6,2,3,0,0,2,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,3,1,2,0,0
18,9,0,4,18,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,1,1,0,1,0,0
19,10,0,2,10,0,0,0,1,4,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,4,1,4,0,1
20,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
21,5,0,3,12,0,0,0,1,4,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0
22,4,0,4,4,0,1,0,0,4,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2,0,0
23,8,1,6,10,0,2,0,1,4,10,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1
24,12,0,0,8,2,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,3,0,0,2,0,1
25,8,1,4,9,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0
26,12,0,0,13,3,5,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,3,2,0,2,0,0
27,7,0,1,10,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0
28,3,0,0,3,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
29,5,1,0,4,0,1,0,4,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
30,9,0,4,11,0,1,0,2,5,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,5,0,2,1,0
31,5,0,1,7,4,0,0,1,1,0,0,2,1,4,1,43,0,1,1,0,0,1,0,3,0,0,0,1,0,0
32,1,0,0,3,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
33,3,0,0,7,0,2,0,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,1,2,3,0,0
34,14,4,0,10,0,1,0,2,5,2,0,6,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
35,3,1,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
36,1,2,0,15,0,1,0,4,0,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0
37,13,0,0,8,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,0,2,1,0
