Cell Index,ce_z_in_pix,ce_x_in_pix,ce_y_in_pix,type,subtype,in_nu,polar,rna_ave_dis,cell_radius,cell_volume,nu_volume
0,67.2,530.0,448.0,In,In-Pvalb,0.24,9.604014360672316,35.12714637323093,57.71179775401214,99771.84,69924.95999999999
1,154.56,518.0,32.0,Ex,Ex-5-Prox1+,0.4444444444444444,3.2588720308689956,29.707390017027333,37.3167737083473,30441.6,67576.31999999999
2,84.0,60.0,272.0,other,other,0.13043478260869565,5.105952195828613,41.794193422321115,72.60048484686585,0.0,62274.24
3,144.48,422.0,82.0,Ex,Ex-other,0.3333333333333333,14.856355168374547,31.855718116143674,39.80637637364145,0.0,62401.92
4,80.64,158.0,330.0,In,In-Vip,0.4090909090909091,5.52227644998715,29.27897414818991,47.68282290301194,94385.76,61773.6
5,188.16,218.0,480.0,In,In-Lamp5,0.5454545454545454,12.295420904003716,24.99410593819615,44.60365007485374,18782.399999999998,59112.479999999996
6,157.92,478.0,324.0,Ex,Ex-5-Prox1+,0.375,9.379520243594554,27.533272118408373,44.392652545212925,16668.96,58222.079999999994
7,87.36,350.0,608.0,In,In-other,0.5555555555555556,8.209131019710016,25.356558016514118,38.230087627417234,0.0,57684.479999999996
8,228.48,250.0,512.0,In,In-Lamp5,0.18181818181818182,22.434484966285254,35.63525934815596,37.36589353942977,20694.239999999998,64921.92
9,73.92,238.0,470.0,Ex,Ex-other,0.4117647058823529,8.660281526865482,26.609706061948458,41.64192118526714,0.0,66252.48
10,201.6,432.0,238.0,other,other,0.0,11.313858577796005,43.27720762315648,53.11003295046991,0.0,64001.28
11,188.16,542.0,476.0,other,other,0.5,19.34671950371833,27.615050664022817,30.25211397572078,0.0,55789.439999999995
12,87.36,320.0,360.0,In,In-other,0.4827586206896552,12.033208587818741,24.38427558881499,35.71955206885999,0.0,60432.96
13,157.92,238.0,166.0,Ex,Ex-other,0.38095238095238093,3.487893672056789,26.248154476846416,40.25091800195369,0.0,60863.04
14,151.2,450.0,556.0,other,other,0.3333333333333333,10.982070559679421,30.58617568377195,44.174748442973616,0.0,50820.0
15,218.4,482.0,492.0,Glial,Glial-Astrocyte,0.3333333333333333,13.712044628764689,26.156329564165848,26.720973036175163,14579.039999999999,65644.31999999999
16,211.67999999999998,144.0,292.0,In,In-Pvalb,0.14285714285714285,12.133262913752416,34.83427367656874,53.54715305223986,73550.4,56901.6
17,57.12,498.0,144.0,other,other,0.6666666666666666,9.031149649961531,24.038392310241456,43.02952009957815,0.0,58484.159999999996
18,134.4,556.0,484.0,Ex,Ex-1,0.3157894736842105,6.514536398511745,26.426023888768377,33.3754940038346,41092.799999999996,47090.4
19,117.6,340.0,108.0,Glial,Glial-Astrocyte,0.7,2.2525727513223446,22.30041972244519,44.27471061452575,40666.08,53309.759999999995
20,134.4,104.0,316.0,Ex,Ex-3-Rorb+,0.25,21.289158952126044,39.022742652411395,56.318597283668204,44506.56,40860.96
21,100.8,416.0,152.0,Ex,Ex-1,0.375,10.067397876313422,29.513104924212833,47.85640604976516,47332.32,58739.52
22,131.04,162.0,136.0,other,other,0.43478260869565216,1.439080782014875,27.078859473829876,41.33442149105271,0.0,70069.44
23,50.4,592.0,100.0,Glial,Glial-Astrocyte,0.3333333333333333,15.903290169717154,27.85660409896392,31.361434916151396,23533.44,50796.479999999996
24,218.4,494.0,120.0,In,In-Lamp5,0.35,10.214235164710075,32.14969201965618,45.861744406422225,66874.08,53383.68
25,151.2,384.0,328.0,other,other,0.625,2.9611821963533393,20.459328204472975,32.33481096279983,0.0,50756.159999999996
26,67.2,38.0,132.0,Ex,Ex-other,0.40540540540540543,12.541089643150853,29.453624137385034,46.48610114862291,0.0,68701.92
27,97.44,406.0,376.0,Ex,Ex-1,0.5,8.050686876513936,27.12539306845096,35.32806816116613,30156.0,50033.759999999995
28,225.12,54.0,558.0,Glial,Glial-Astrocyte,0.35,15.99241082513826,31.576958732251406,49.969514706468786,56753.759999999995,56851.2
29,80.64,198.0,126.0,Ex,Ex-1,0.16129032258064516,5.273200301068832,31.80355281790448,46.98831344068438,90350.4,65019.36
30,60.48,374.0,464.0,Glial,Glial-Microglia,0.38461538461538464,11.34800767123942,24.734505295915554,38.83170869276808,20415.36,53665.92
31,104.16,488.0,510.0,Ex,Ex-1,0.21739130434782608,7.8327834152519475,30.84444063196291,41.21602115682687,54465.6,54048.96
32,228.48,12.0,222.0,Ex,Ex-other,0.16666666666666666,26.872459719162766,39.633869410687595,43.7320248788002,0.0,43895.04
33,174.72,528.0,444.0,other,other,0.4166666666666667,14.17883438243233,22.093901006553242,24.695821508911177,0.0,54220.32
34,134.4,290.0,148.0,Ex,Ex-5-Prox1+,0.42857142857142855,4.158920582093787,21.1645742599441,25.048465022831234,9495.359999999999,44237.759999999995
35,154.56,28.0,62.0,Ex,Ex-other,0.28125,9.700264896511854,34.456093198337676,53.792549670005414,0.0,69703.2
36,50.4,460.0,274.0,Glial,Glial-Astrocyte,0.6363636363636364,10.251265755348287,21.595619756465364,21.139167438667023,12673.92,49106.4
37,84.0,66.0,356.0,Glial,Glial-Oligodendrocyte,0.5384615384615384,10.54925264466384,24.87047928378149,34.05706387814428,29994.719999999998,52076.64
38,161.28,122.0,116.0,other,other,0.32142857142857145,14.385971412087143,31.741992248238464,50.60632371551998,0.0,57946.56
39,127.67999999999999,600.0,522.0,Ex,Ex-5-Prox1+,0.16666666666666666,12.467404612740268,25.36901661131579,27.955142639593166,10439.52,51213.119999999995
42,57.12,76.0,384.0,In,In-Lamp5,0.2857142857142857,3.7621639452608093,29.75744779976129,42.73803458279288,63292.32,62035.68
43,228.48,430.0,460.0,Ex,Ex-1,0.23076923076923078,12.470613979181278,30.688298232618983,39.83141473761635,28126.559999999998,49213.92
44,87.36,400.0,450.0,other,other,0.3333333333333333,8.938104447314956,27.745305000914467,35.761101772736254,0.0,44530.08
45,120.96,300.0,568.0,Ex,Ex-5-Prox1+,0.42105263157894735,12.265890637462604,27.734352755972044,37.37828781525445,31822.559999999998,50252.159999999996
46,181.44,296.0,108.0,Glial,Glial-Astrocyte,0.16666666666666666,7.574460743548409,32.385364024085604,42.09868881568641,47113.92,55503.84
47,67.2,216.0,514.0,Ex,Ex-5-Prox1+,0.14285714285714285,9.995037135845893,38.764635603056966,49.45107076697126,54008.64,60866.399999999994
