,z_in_pix,x_in_pix,y_in_pix
0,20,530,448
1,46,518,32
2,25,60,272
3,43,422,82
4,24,158,330
5,56,218,480
6,47,478,324
7,26,350,608
8,68,250,512
9,22,238,470
10,60,432,238
11,56,542,476
12,26,320,360
13,47,238,166
14,45,450,556
15,65,482,492
16,63,144,292
17,17,498,144
18,40,556,484
19,35,340,108
20,40,104,316
21,30,416,152
22,39,162,136
23,15,592,100
24,65,494,120
25,45,384,328
26,20,38,132
27,29,406,376
28,67,54,558
29,24,198,126
30,18,374,464
31,31,488,510
32,68,12,222
33,52,528,444
34,40,290,148
35,46,28,62
36,15,460,274
37,25,66,356
38,48,122,116
39,38,600,522
40,16,276,248
41,50,440,428
42,17,76,384
43,68,430,460
44,26,400,450
45,36,300,568
46,54,296,108
47,20,216,514
48,46,312,306
49,53,554,342
50,14,72,576
51,17,426,354
52,59,458,64
53,36,18,452
54,24,392,500
55,31,452,330
56,33,170,232
57,46,218,268
58,24,566,388
59,42,562,408
60,23,406,548
61,16,510,76
62,58,562,22
63,37,324,442
64,50,166,132
65,14,48,92
66,23,410,322
67,34,596,460
68,14,462,56
69,38,160,480
70,29,80,468
71,18,226,376
72,38,270,100
73,70,364,478
74,55,142,500
75,40,478,136
76,23,600,542
77,68,602,304
78,38,346,214
79,46,382,434
80,27,406,420
81,63,416,82
82,28,548,20
83,50,490,280
84,27,604,68
85,12,256,142
86,18,596,468
87,28,438,556
88,48,372,248
89,56,398,146
90,71,232,196
91,35,460,390
92,64,368,104
93,62,180,524
94,58,154,384
95,68,516,588
96,23,270,278
97,46,538,104
98,32,490,232
99,42,216,592
100,69,450,64
101,24,374,38
102,45,300,534
103,54,84,456
104,13,150,32
105,42,360,552
106,15,220,44
107,42,202,332
108,67,284,290
109,14,576,250
110,65,314,520
111,14,14,50
112,54,536,584
113,38,66,124
114,28,64,136
115,63,304,188
116,62,88,420
117,52,446,388
118,67,364,424
119,32,188,348
120,13,294,460
121,65,580,580
122,20,138,600
123,47,426,144
124,21,404,590
125,45,274,442
126,42,582,442
127,20,416,20
128,13,26,376
129,39,312,332
130,25,520,560
131,58,84,62
132,32,98,402
133,61,228,272
134,50,76,76
135,30,540,356
136,61,496,286
137,13,554,44
138,52,214,322
139,11,18,608
140,30,164,586
141,28,574,204
142,58,406,366
143,59,382,18
144,44,26,510
145,44,198,510
146,40,132,554
147,37,558,226
148,66,558,190
149,40,166,572
150,29,358,80
151,26,4,602
152,52,602,306
153,11,178,154
154,24,514,240
155,42,372,68
156,65,264,596
157,13,382,164
158,19,504,268
159,62,46,14
160,54,292,588
161,11,610,166
162,66,6,542
163,55,546,388
164,11,332,212
165,11,496,288
166,33,126,556
167,53,282,328
168,38,200,290
169,12,480,172
170,11,172,262
171,59,178,12
172,68,288,534
173,48,510,520
174,57,284,392
175,67,460,406
176,44,4,316
177,43,318,218
178,54,194,90
179,48,418,372
180,70,498,12
181,71,308,14
182,50,366,88
183,38,272,12
184,53,176,74
185,20,4,272
186,63,294,424
187,55,344,12
188,10,420,526
189,38,118,480
190,52,160,612
191,61,438,388
192,53,488,474
193,39,254,204
194,10,170,182
195,10,18,220
196,30,276,612
197,11,532,190
198,58,328,32
199,37,560,580
200,25,570,268
201,10,450,460
202,30,566,242
203,32,236,10
204,51,198,300
205,18,540,214
206,17,588,216
207,30,480,760
208,42,208,688
209,67,426,900
210,35,260,1020
211,43,480,672
212,18,188,1028
213,64,604,740
214,68,202,828
215,36,606,632
216,58,80,848
217,52,36,746
218,33,438,964
219,39,288,736
220,55,384,656
221,42,434,776
222,35,124,732
223,46,170,904
224,17,448,740
225,34,48,1040
226,41,352,760
227,26,214,964
228,64,174,922
229,39,344,920
230,44,322,1000
231,70,50,956
232,27,156,904
233,18,324,824
234,54,124,730
235,32,466,908
236,51,312,686
237,53,246,816
238,36,382,956
239,47,604,956
240,41,572,820
241,36,522,816
242,58,552,876
243,61,474,630
244,53,464,972
245,59,78,892
246,56,610,884
247,45,540,934
248,26,146,944
249,54,210,772
250,70,168,624
251,45,164,752
252,44,346,628
253,61,330,788
254,30,428,630
255,48,398,754
256,14,422,796
257,54,530,948
258,34,270,940
259,64,158,852
260,54,124,788
261,15,594,900
262,16,22,776
263,46,284,660
264,52,554,846
265,69,418,968
266,38,202,852
267,18,134,750
268,22,278,884
269,42,376,984
270,66,420,780
271,30,472,704
272,43,456,1004
273,28,298,964
274,16,596,852
275,15,438,878
276,22,214,724
277,24,512,752
278,64,152,1000
279,58,274,916
280,64,370,622
281,19,284,638
282,67,224,666
283,29,306,840
284,30,26,832
285,38,36,748
286,16,542,916
287,34,604,1008
288,67,446,660
289,55,476,1036
290,48,384,948
291,20,546,664
292,59,396,748
293,34,218,818
294,39,584,880
295,51,520,626
296,39,94,792
297,45,24,688
298,70,488,856
299,12,546,808
300,47,598,636
301,60,292,736
302,53,578,1012
303,40,234,924
304,15,254,768
305,64,8,936
306,44,540,636
307,13,234,1032
308,12,316,798
309,50,354,874
310,11,492,996
311,65,262,918
312,64,454,980
313,66,268,992
314,13,516,1028
315,20,4,934
316,58,396,882
317,34,512,728
318,12,490,820
319,12,508,704
320,50,66,724
321,28,14,1000
322,53,348,730
323,12,130,960
324,67,436,690
325,29,200,844
326,60,548,808
327,52,26,816
328,11,340,928
329,31,482,1018
330,22,564,960
331,59,444,944
332,12,358,638
333,11,132,708
334,10,310,1004
335,11,590,964
336,29,286,636
337,36,38,700
338,69,182,1016
339,62,468,924
340,50,596,806
341,20,510,1002
342,68,192,944
343,63,580,822
344,11,438,770
345,25,516,1010
346,14,4,880
347,59,582,800
348,28,410,1326
349,70,40,1254
350,18,510,1086
351,15,354,1310
352,61,568,1160
353,54,496,1248
354,20,226,1300
355,42,398,1118
356,38,306,1244
357,22,506,1376
358,64,558,1066
359,51,426,1094
360,36,52,1280
361,21,594,1416
362,21,278,1148
363,54,126,1124
364,66,538,1336
365,48,580,1056
366,68,352,1344
367,72,322,1384
368,60,56,1284
369,38,304,1176
370,64,432,1422
371,48,510,1356
372,54,20,1428
373,65,306,1254
374,51,536,1104
375,33,494,1312
376,36,430,1188
377,18,86,1154
378,22,280,1436
379,25,490,1058
380,66,510,1110
381,19,432,1436
382,60,22,1304
383,20,426,1266
384,66,174,1450
385,71,578,1120
386,62,308,1048
387,30,128,1382
388,19,58,1392
389,69,584,1274
390,48,290,1124
391,22,338,1184
392,53,474,1390
393,62,578,1460
394,68,226,1256
395,70,42,1144
396,55,260,1052
397,42,200,1408
398,25,402,1396
399,56,394,1382
400,35,316,1086
401,32,330,1428
402,53,318,1284
403,67,152,1404
404,40,466,1448
405,46,518,1464
406,15,332,1352
407,58,76,1148
408,19,556,1040
409,72,234,1228
410,12,370,1092
411,19,350,1132
412,66,158,1250
413,19,248,1218
414,16,490,1276
415,51,384,1176
416,55,138,1082
417,58,234,1288
418,34,62,1152
419,42,438,1388
420,42,80,1476
421,31,326,1354
422,36,268,1362
423,61,410,1060
424,62,468,1384
425,38,598,1404
426,48,502,1208
427,12,196,1136
428,39,540,1156
429,30,438,1144
430,47,584,1252
431,40,480,1144
432,34,576,1136
433,26,334,1060
434,68,400,1200
435,44,576,1464
436,66,222,1132
437,13,350,1422
438,40,450,1286
439,27,258,1384
440,40,326,1330
441,43,334,1460
442,52,76,1448
443,56,38,1458
444,45,230,1190
445,58,272,1188
446,14,566,1256
447,22,474,1196
448,69,374,1436
449,69,398,1168
450,52,338,1460
451,50,158,1404
452,40,602,1232
453,14,180,1388
454,44,110,1444
455,42,570,1332
456,66,232,1394
457,60,422,1186
458,53,260,1214
459,14,18,1252
460,26,530,1344
461,33,566,1176
462,59,340,1442
463,45,502,1294
464,57,516,1452
465,47,244,1308
466,38,510,1480
467,62,22,1062
468,71,574,1340
469,13,594,1240
470,69,458,1268
471,54,552,1400
472,21,438,1182
473,54,196,1228
474,52,418,1268
475,22,322,1096
476,59,522,1052
477,48,330,1340
478,11,54,1226
479,22,310,1336
480,32,342,1228
481,14,56,1194
482,12,174,1212
483,12,312,1180
484,47,576,1176
485,13,478,1240
486,57,264,1452
487,12,8,1430
488,62,500,1430
489,25,586,1336
490,11,152,1142
491,61,134,1306
492,39,234,1432
493,67,264,1072
494,11,94,1272
495,11,308,1252
496,56,402,1218
497,10,82,1212
498,42,4,1372
499,21,72,1212
500,50,252,1272
501,34,46,1182
502,47,414,1048
503,10,610,1194
504,48,438,1294
505,10,382,1332
506,44,4,1134
507,10,76,1478
508,42,418,1774
509,56,268,1904
510,32,90,1512
511,44,304,1854
512,53,220,1516
513,45,186,1652
514,55,514,1688
515,50,338,1804
516,44,164,1536
517,36,576,1586
518,14,436,1834
519,26,552,1680
520,44,536,1636
521,22,284,1540
522,16,202,1676
523,48,176,1828
524,25,102,1736
525,68,544,1896
526,27,274,1588
527,42,146,1716
528,20,76,1898
529,48,490,1784
530,22,336,1508
531,50,172,1496
532,16,278,1572
533,54,154,1664
534,34,138,1590
535,36,572,1764
536,48,590,1862
537,64,602,1832
538,68,100,1540
539,62,300,1660
540,40,324,1740
541,63,602,1552
542,68,506,1586
543,65,202,1746
544,24,394,1644
545,15,238,1760
546,72,386,1832
547,71,396,1892
548,32,204,1842
549,62,250,1710
550,70,138,1636
551,40,554,1512
552,17,178,1618
553,60,80,1732
554,38,286,1682
555,25,182,1776
556,46,306,1504
557,14,518,1494
558,44,200,1798
559,58,366,1900
560,56,378,1566
561,24,346,1616
562,62,378,1690
563,36,210,1528
564,64,426,1634
565,41,40,1748
566,28,18,1826
567,50,532,1796
568,37,550,1848
569,19,318,1568
570,26,168,1812
571,63,172,1668
572,48,522,1524
573,41,216,1576
574,60,298,1742
575,15,250,1508
576,15,424,1550
577,42,546,1906
578,46,526,1828
579,70,78,1784
580,50,236,1754
581,52,474,1476
582,28,90,1852
583,58,266,1604
584,66,550,1580
585,59,556,1836
586,58,24,1756
587,66,166,1792
588,72,460,1526
589,60,364,1768
590,34,312,1788
591,46,62,1732
592,49,486,1832
593,13,422,1670
594,21,14,1792
595,68,288,1832
596,63,378,1742
597,48,500,1596
598,14,160,1668
599,30,394,1564
600,31,476,1590
601,29,378,1870
602,26,306,1636
603,50,10,1892
604,51,218,1566
605,33,120,1884
606,65,518,1824
607,54,460,1840
608,59,254,1838
609,30,74,1660
610,69,348,1600
611,13,578,1744
612,61,152,1820
613,34,100,1478
614,45,568,1808
615,16,136,1600
616,44,118,1770
617,66,414,1780
618,54,202,1752
619,63,384,1488
620,51,598,1524
621,39,88,1818
622,30,192,1748
623,42,536,1668
624,65,462,1868
625,28,254,1772
626,21,410,1860
627,46,554,1554
628,28,222,1596
629,51,266,1482
630,13,350,1756
631,38,14,1688
632,20,270,1634
633,27,430,1828
634,32,236,1800
635,20,476,1904
636,29,566,1812
637,12,76,1760
638,12,574,1822
639,12,236,1580
640,70,336,1704
641,54,62,1620
642,11,130,1632
643,55,338,1548
644,13,558,1584
645,13,74,1548
646,11,494,1794
647,12,426,1592
648,29,604,1810
649,50,122,1740
650,27,112,1698
651,25,314,1840
652,11,496,1596
653,12,122,1846
654,50,482,1660
655,61,122,1892
656,30,590,1780
657,57,446,1900
658,38,434,1628
659,28,582,1846
660,27,244,1480
661,12,352,1480
662,11,274,1642
663,11,364,1652
664,70,4,1582
665,11,286,1614
666,16,310,1850
667,32,90,1756
668,12,574,1912
669,18,92,1800
670,68,258,1814
671,39,90,1724
672,22,276,1838
673,46,320,1748
674,70,232,1560
675,59,352,1572
676,42,168,1598
677,11,522,1642
678,10,334,1552
679,13,102,1738
680,45,342,1700
