Cell Index,ce_z_in_pix,ce_x_in_pix,ce_y_in_pix,type,subtype,in_nu,polar,rna_ave_dis,cell_radius,cell_volume,nu_volume
0,225.12,310.0,532.0,Ex,Ex-thalamus,0.4074074074074074,9.699479544251597,27.010007535261916,51.122304329910634,52483.2,47003.04
1,117.6,560.0,48.0,Ex,Ex-thalamus,0.3333333333333333,8.056943347890146,26.75970198954734,40.006999387607166,64011.36,62287.68
2,114.24,278.0,482.0,other,other,0.13636363636363635,16.213696893125537,42.41193165360429,55.59295279079894,0.0,44244.479999999996
3,104.16,562.0,564.0,Ex,Ex-thalamus,0.15,6.342439944094442,32.05549848592377,53.89679396773059,187081.44,44264.64
5,100.8,38.0,520.0,Ex,Ex-thalamus,0.2549019607843137,6.623301868646348,32.37573141409596,64.69350817508662,218951.03999999998,68769.12
6,100.8,88.0,150.0,Ex,Ex-thalamus,0.13333333333333333,26.011199502436554,38.48759736320491,49.00795445639412,100121.28,44960.159999999996
7,198.23999999999998,152.0,398.0,Ex,Ex-thalamus,0.22429906542056074,7.790124168024298,35.08286483901147,54.869284668200294,273991.2,81002.87999999999
8,127.67999999999999,492.0,576.0,Ex,Ex-thalamus,0.25925925925925924,6.335591039840892,30.32980580534667,43.36830639995065,138522.72,62670.72
9,73.92,448.0,368.0,Ex,Ex-thalamus,0.352112676056338,6.298841512840927,29.87047617343815,47.890395696840926,115251.36,69652.8
10,198.23999999999998,116.0,564.0,other,other,0.2857142857142857,7.284154629980657,29.471041058075077,49.74587018034764,0.0,60318.72
11,147.84,454.0,92.0,In,In-Vip,0.2978723404255319,7.372365122306751,28.168772021056668,37.8668931918107,64666.56,64128.96
12,94.08,326.0,404.0,In,In-Vip,0.34328358208955223,6.265340672322138,28.404673012435573,54.27061451651345,127854.72,70140.0
13,161.28,410.0,420.0,Ex,Ex-thalamus,0.1111111111111111,22.879653368694328,40.95367295286951,48.066707813204765,29423.52,31177.44
14,194.88,468.0,510.0,Ex,Ex-thalamus,0.2962962962962963,6.968720393528678,27.73594174493977,41.55933589459774,69058.08,50645.28
15,124.32,436.0,200.0,Ex,Ex-thalamus,0.07142857142857142,16.14920330378373,35.06419136256106,44.8182507467661,41196.96,46082.4
16,53.76,48.0,128.0,other,other,0.1,24.89312354848223,49.671121075908125,60.48678864016505,0.0,52385.759999999995
17,90.72,286.0,360.0,Ex,Ex-thalamus,0.24193548387096775,12.152345474034682,31.62518703379711,44.5078914351152,128012.64,55823.04
18,114.24,424.0,132.0,Ex,Ex-thalamus,0.3404255319148936,13.081899458256935,29.24731404708387,39.313351421622656,89483.51999999999,62455.68
19,154.56,338.0,330.0,Ex,Ex-thalamus,0.125,8.80201113382618,34.96596483328113,54.83481011182586,19121.76,41227.2
20,131.04,122.0,620.0,Ex,Ex-thalamus,0.33766233766233766,10.368288003366922,32.34045878003652,51.99289951522227,154539.84,57876.0
21,50.4,256.0,170.0,Ex,Ex-thalamus,0.25,30.043689541233114,45.106110441063706,54.78733065225938,145293.12,34100.64
22,57.12,502.0,470.0,Ex,Ex-thalamus,0.08333333333333333,22.792367387156407,39.08760908144069,52.91918744652076,85706.87999999999,36214.08
23,117.6,458.0,320.0,Ex,Ex-thalamus,0.11926605504587157,8.352356733770662,37.61013644723221,62.030718196712826,277119.36,71453.76
24,114.24,114.0,48.0,Ex,Ex-thalamus,0.23076923076923078,13.995934338150697,36.782769066890246,59.925240091300424,255719.52,70828.8
26,208.32,178.0,344.0,Ex,Ex-thalamus,0.13043478260869565,10.13077864689774,31.13103062310893,44.706581171008814,115815.84,31456.32
27,124.32,584.0,506.0,other,other,0.23529411764705882,4.992886843414489,27.719803803570798,38.77486299137626,0.0,30169.44
28,141.12,258.0,308.0,other,other,0.07142857142857142,16.24235229772046,36.01000628643262,40.1659009608897,0.0,42094.08
30,181.44,504.0,76.0,Ex,Ex-thalamus,0.25,20.249054916217695,33.889836861958244,33.669475790395076,20055.84,46905.6
31,94.08,282.0,392.0,Ex,Ex-thalamus,0.1111111111111111,21.164435785356584,35.46203255058716,43.8544182494763,90484.8,28539.84
32,134.4,56.0,312.0,other,other,0.06666666666666667,13.156872036231778,38.68290082593148,45.129276528657094,0.0,62788.32
33,120.96,584.0,466.0,Ex,Ex-thalamus,0.21818181818181817,14.436377119297553,33.19874226290429,54.608958971948915,148696.8,68130.72
34,120.96,360.0,256.0,Ex,Ex-thalamus,0.3620689655172414,3.9323258012143874,30.85171492898097,48.523680816689904,171000.47999999998,65580.48
35,208.32,538.0,404.0,In,In-Vip,0.06666666666666667,18.286997736704155,35.94578682468494,44.42885998987595,82914.72,29981.28
36,221.76,434.0,608.0,In,In-Vip,0.30985915492957744,5.995928023791998,30.049251209971565,57.112902220076336,149086.56,62956.32
37,50.4,58.0,368.0,Ex,Ex-thalamus,0.2727272727272727,16.923208573723606,27.528367920649522,33.811767182447,16386.72,29581.44
38,104.16,116.0,84.0,In,In-Vip,0.09090909090909091,18.094440587243632,38.49353681341471,56.6556652065793,263014.08,33549.6
39,215.04,458.0,408.0,Ex,Ex-thalamus,0.2916666666666667,6.390569440807108,28.011362975840843,48.14870299395405,99395.51999999999,66276.0
40,100.8,532.0,128.0,Ex,Ex-thalamus,0.45454545454545453,13.577322762180675,31.06516675350931,48.974483151943524,98253.12,57372.0
41,104.16,154.0,524.0,other,other,0.30434782608695654,20.370557796799318,38.04083405518058,52.50183234897616,0.0,46099.2
42,147.84,28.0,58.0,Ex,Ex-thalamus,0.08108108108108109,26.00124442715019,43.703236263594725,61.03149678649542,125035.68,36802.08
43,201.6,514.0,362.0,Ex,Ex-thalamus,0.28205128205128205,6.891146574967442,30.12628907478332,45.31004303683677,96919.2,61088.159999999996
44,154.56,610.0,212.0,Ex,Ex-thalamus,0.2857142857142857,4.547504866429944,28.531270837501854,41.269339708795926,101441.76,60755.52
