,z_in_pix,x_in_pix,y_in_pix
0,67,310,532
1,35,560,48
2,34,278,482
3,31,562,564
4,55,564,498
5,30,38,520
6,30,88,150
7,59,152,398
8,38,492,576
9,22,448,368
10,59,116,564
11,44,454,92
12,28,326,404
13,48,410,420
14,58,468,510
15,37,436,200
16,16,48,128
17,27,286,360
18,34,424,132
19,46,338,330
20,39,122,620
21,15,256,170
22,17,502,470
23,35,458,320
24,34,114,48
25,43,190,168
26,62,178,344
27,37,584,506
28,42,258,308
29,46,514,424
30,54,504,76
31,28,282,392
32,40,56,312
33,36,584,466
34,36,360,256
35,62,538,404
36,66,434,608
37,15,58,368
38,31,116,84
39,64,458,408
40,30,532,128
41,31,154,524
42,44,28,58
43,60,514,362
44,46,610,212
45,60,40,376
46,47,336,168
47,32,328,448
48,22,104,560
49,49,150,624
50,59,356,128
51,52,560,54
52,22,332,528
53,68,36,264
54,51,136,492
55,64,534,282
56,44,118,352
57,53,132,28
58,17,522,40
59,59,194,200
60,60,374,78
61,64,472,196
62,27,398,486
63,41,516,146
64,40,554,80
65,66,132,90
66,14,76,184
67,51,288,250
68,53,256,456
69,51,308,346
70,64,348,242
71,61,518,516
72,65,590,594
73,56,222,76
74,37,138,298
75,61,270,252
76,38,178,596
77,15,522,212
78,19,236,488
79,39,162,560
80,46,532,262
81,17,580,384
82,24,516,582
83,31,312,208
84,42,612,292
85,24,358,66
86,65,256,610
87,40,218,564
88,19,442,132
89,31,560,298
90,38,18,90
91,54,438,482
92,66,328,440
93,62,106,160
94,67,184,262
95,53,74,200
96,16,234,260
97,68,464,338
98,18,608,66
99,24,152,204
100,41,558,250
101,17,566,628
102,30,386,212
103,54,112,470
104,25,390,544
105,24,114,412
106,53,36,552
107,33,72,556
108,38,210,208
109,48,544,594
110,54,386,108
111,32,616,90
112,21,496,12
113,49,416,198
114,14,346,368
115,17,358,328
116,15,470,316
117,31,258,12
118,61,384,432
119,14,198,296
120,58,426,68
121,18,294,200
122,42,100,108
123,15,182,360
124,15,476,502
125,15,134,392
126,68,414,422
127,51,194,564
128,14,230,552
129,18,530,324
130,66,434,232
131,56,244,236
132,17,390,120
133,14,158,412
134,16,466,420
135,59,548,4
136,29,404,514
137,59,530,612
138,32,58,252
139,68,560,134
140,41,222,328
141,46,326,562
142,16,606,164
143,46,476,238
144,17,240,4
145,56,16,4
146,14,392,236
147,54,4,576
148,14,260,404
149,48,614,358
150,44,42,272
151,30,626,490
152,19,74,312
153,15,604,164
154,16,546,398
155,38,296,38
156,20,584,106
157,19,18,462
158,15,458,262
159,31,4,388
160,50,630,360
161,20,18,378
162,28,410,382
163,15,202,332
164,52,4,466
165,19,450,572
166,45,410,4
167,55,468,928
168,31,382,1026
169,38,516,796
170,55,436,628
171,56,502,990
172,66,224,924
173,64,392,1020
174,62,346,784
175,63,428,760
176,31,82,936
177,54,352,914
178,61,356,710
179,36,504,728
180,46,66,676
181,42,396,638
182,38,470,660
183,66,352,956
184,56,272,648
185,38,58,1010
186,31,438,776
187,54,376,684
188,15,256,678
189,50,126,756
190,49,616,760
191,38,124,736
192,34,166,636
193,68,234,988
194,66,482,852
195,56,556,884
196,22,130,758
197,14,108,978
198,47,324,1054
199,60,242,728
200,35,264,660
201,32,102,980
202,20,72,800
203,20,200,776
204,41,258,932
205,66,268,828
206,61,270,900
207,66,304,902
208,38,178,712
209,54,502,742
210,17,502,944
211,39,530,886
212,59,616,1044
213,23,610,806
214,24,178,716
215,62,30,764
216,39,404,836
217,18,74,916
218,16,606,768
219,68,514,796
220,35,258,1020
221,66,60,904
222,57,18,656
223,40,406,994
224,20,612,852
225,23,120,888
226,44,358,736
227,21,570,666
228,41,250,836
229,49,254,1016
230,34,458,902
231,23,540,880
232,36,142,962
233,16,572,734
234,41,272,1044
235,17,530,832
236,47,24,808
237,26,16,770
238,39,258,720
239,28,612,740
240,50,424,860
241,60,576,786
242,27,88,698
243,16,348,844
244,16,32,730
245,38,562,920
246,17,326,978
247,35,346,856
248,17,292,1000
249,33,14,668
250,58,108,848
251,37,294,802
252,47,250,656
253,49,526,760
254,65,10,728
255,36,92,1008
256,46,120,882
257,26,546,736
258,17,600,662
259,40,8,1024
260,22,366,872
261,58,304,868
262,26,318,1030
263,16,30,928
264,62,514,634
