Cell Index,Gapdh,Slc1a3,Slc17a7,Snap25,Rasgrf2,Rgs4,Prox1,Plcxd2,Vxn,Pcp4,Nr4a2,Ctgf,Gad1,Gad2,Pvalb,Sst,Vip,Lamp5,Aqp4,Apod,Plp1,Cx3cr1,Pmch,Gfap,Cck,Mbp,Rprm,Enpp2,Nov,Rorb
0,2,2,0,4,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,2,0,4,0,10,0,2,0,18,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3,3,1,0,0,1
2,5,0,0,4,2,2,0,0,1,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0
3,17,0,0,5,0,8,0,0,0,13,0,0,0,0,0,1,0,2,0,3,2,0,0,0,1,1,0,0,1,6
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,21,6,0,16,0,8,0,3,1,24,0,0,0,0,0,0,2,4,0,0,2,2,4,0,3,3,0,0,0,3
6,6,0,1,5,0,2,0,0,0,7,0,0,1,0,0,0,2,2,0,0,0,0,1,0,2,0,0,1,0,0
7,16,1,0,19,1,21,0,2,1,32,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,2,3,1,0
8,15,3,0,15,0,4,0,2,2,24,0,0,1,0,0,0,0,3,0,0,0,1,1,0,0,9,0,0,0,1
9,14,2,0,11,0,9,0,4,0,25,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1
10,8,0,0,10,0,10,1,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,5,0,2,3,0
11,7,0,0,6,0,8,0,0,0,14,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,6,0,0,0,0
12,11,1,0,10,0,7,0,2,0,18,0,0,0,0,0,1,3,1,0,0,1,1,0,0,4,3,1,0,0,3
13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4,0,0,0,0
14,3,0,0,6,0,2,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,1,0,1,0,0
15,6,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
16,0,1,0,2,0,9,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
17,9,3,1,9,0,5,0,0,0,26,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,2,1,0,0,0
18,9,1,0,11,0,4,1,0,0,16,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
19,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
20,6,1,0,13,1,14,0,2,2,22,0,0,0,0,1,0,0,1,0,0,0,1,2,1,3,4,0,1,0,2
21,2,0,0,2,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,0,2,0,0
22,4,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
23,18,2,0,13,0,24,0,1,0,26,0,0,0,0,2,0,0,4,0,0,0,0,0,1,2,11,1,4,0,0
