Cell Index,ce_z_in_pix,ce_x_in_pix,ce_y_in_pix,type,subtype,in_nu,polar,rna_ave_dis,cell_radius,cell_volume,nu_volume
0,201.6,310.0,462.0,Glial,Glial-Microglia,0.2857142857142857,7.345972040201325,35.230189428135404,65.73579238131994,77605.92,59878.56
1,73.92,88.0,224.0,other,other,0.41379310344827586,11.221856455452352,29.6138745943401,42.52399322735342,0.0,64028.159999999996
2,168.0,186.0,236.0,other,other,0.3,6.668403407113282,31.392545513606414,43.33433280898646,0.0,61242.72
3,181.44,252.0,620.0,Ex,Ex-thalamus,0.45,14.928542326697537,28.752036297206168,39.25938868602006,39715.2,57788.64
4,178.07999999999998,166.0,488.0,Ex,Ex-DG,0.3076923076923077,6.108748019591569,26.87052909216047,38.10063516530925,63171.36,64172.64
5,204.95999999999998,158.0,600.0,other,other,0.42857142857142855,9.19320001580581,28.230877260715964,39.79560779784623,0.0,58470.72
6,104.16,528.0,476.0,Ex,Ex-CA1,0.2222222222222222,28.7336149028053,45.34705421203875,61.28441563725642,198236.63999999998,64673.28
7,181.44,638.0,244.0,Ex,Ex-1,0.3333333333333333,6.049595777429617,29.03960885707973,38.57039797564966,62727.84,52657.92
8,168.0,236.0,490.0,Ex,Ex-2-Nr4a2+,0.3448275862068966,7.853351004356168,30.292649105046745,46.560730234823424,61467.84,59576.159999999996
9,100.8,302.0,374.0,other,other,0.2619047619047619,14.825198686687935,31.166260077898887,44.69105055824935,0.0,54858.72
10,60.48,282.0,316.0,Ex,Ex-CA1,0.3793103448275862,10.205115315218565,27.840924043687433,43.81826103350063,77343.84,57600.479999999996
11,168.0,274.0,528.0,Ex,Ex-5-other,0.35294117647058826,6.081115473161494,26.106678127680343,40.96506316362761,83412.0,60086.88
12,184.79999999999998,360.0,316.0,In,In-Sst,0.2,13.499557657938293,29.32178839633262,34.866998723721544,39953.76,53944.799999999996
13,174.72,510.0,108.0,In,In-Pvalb,0.3888888888888889,8.627393208857852,28.441182031489248,51.48716733322974,109173.12,60590.88
14,201.6,594.0,302.0,Ex,Ex-CA1,0.42105263157894735,15.466342690910741,31.070891418437704,50.70009861923347,50211.84,55120.799999999996
15,114.24,120.0,540.0,In,In-Sst,0.35294117647058826,13.445611779482828,25.675444944168113,31.136961958418485,26964.0,54055.68
16,84.0,266.0,514.0,Ex,Ex-3-Rorb+,0.3448275862068966,6.467072585337153,28.476523561609465,36.71797924722982,71497.44,58238.88
17,147.84,66.0,380.0,In,In-Pvalb,0.34615384615384615,5.043180409132045,25.196949596548855,32.115815418575316,53454.24,54603.36
18,191.51999999999998,146.0,120.0,Ex,Ex-CA1,0.41379310344827586,3.1845644370907826,28.27392090464839,51.70348150753487,88441.92,61256.159999999996
19,90.72,272.0,26.0,Ex,Ex-1,0.40625,5.385240970699452,29.20807840349197,51.630208211859845,101734.08,66279.36
20,198.23999999999998,536.0,78.0,Ex,Ex-3-Rorb+,0.21875,8.08495410082827,28.567386322329213,40.39713356167737,74108.16,59680.32
21,87.36,338.0,426.0,Ex,Ex-CA1,0.43902439024390244,8.932391389929753,32.626842127771106,51.63760645111274,185115.84,56034.72
22,104.16,238.0,482.0,Ex,Ex-DG,0.2857142857142857,9.115236063306078,29.46870526402124,41.92443678810724,76130.87999999999,57734.88
23,120.96,562.0,332.0,Ex,Ex-3-Rorb+,0.3157894736842105,11.746887181238836,28.934036484733827,40.040424573173546,43565.759999999995,54008.64
24,80.64,196.0,400.0,Glial,Glial-Astrocyte,0.2857142857142857,5.75513541747449,23.77795987782421,36.00189439460096,22471.68,41522.88
25,201.6,298.0,248.0,Ex,Ex-CA1,0.6190476190476191,4.062650408867496,22.401543977877868,28.723412053584436,24010.559999999998,54082.56
26,174.72,426.0,250.0,In,In-Pvalb,0.25925925925925924,9.689661425764744,28.349022857700202,44.308464202678024,97174.56,48740.159999999996
27,168.0,38.0,428.0,other,other,0.5,7.725930364687488,26.771901411068512,40.950672766146354,0.0,50820.0
28,90.72,202.0,196.0,Glial,Glial-Microglia,0.3125,9.002180484317247,30.961957010049108,60.14159625417337,139812.96,65805.59999999999
29,40.32,56.0,336.0,Ex,Ex-CA1,0.4230769230769231,3.2605328638449635,25.59415486302716,34.81738071710737,39876.479999999996,58800.0
30,104.16,56.0,408.0,Ex,Ex-CA1,0.22727272727272727,10.71741072097096,28.510107660871867,36.84971641681928,69185.76,60990.72
