,z_in_pix,x_in_pix,y_in_pix
0,60,310,462
1,22,88,224
2,50,186,236
3,54,252,620
4,53,166,488
5,61,158,600
6,31,528,476
7,54,638,244
8,50,236,490
9,30,302,374
10,18,282,316
11,50,274,528
12,55,360,316
13,52,510,108
14,60,594,302
15,34,120,540
16,25,266,514
17,44,66,380
18,57,146,120
19,27,272,26
20,59,536,78
21,26,338,426
22,31,238,482
23,36,562,332
24,24,196,400
25,60,298,248
26,52,426,250
27,50,38,428
28,27,202,196
29,12,56,336
30,31,56,408
31,24,552,132
32,26,412,322
33,57,330,384
34,38,256,158
35,27,248,262
36,28,450,560
37,15,282,148
38,26,624,48
39,42,250,202
40,19,68,392
41,23,350,192
42,44,112,396
43,20,388,562
44,51,516,404
45,21,348,256
46,29,132,392
47,22,444,20
48,37,324,308
49,11,626,318
50,36,130,228
51,32,170,146
52,26,22,346
53,13,610,254
54,26,128,320
55,33,92,284
56,36,206,306
57,39,480,136
58,14,222,494
59,16,608,404
60,18,28,568
61,19,124,88
62,32,554,172
63,42,82,204
64,50,414,540
65,62,304,592
66,57,566,536
67,42,564,248
68,56,64,58
69,44,24,308
70,36,320,256
71,14,58,120
72,25,564,218
73,25,174,378
74,60,106,66
75,42,590,440
76,62,218,602
77,36,174,372
78,35,48,320
79,12,150,176
80,60,82,612
81,27,246,96
82,60,286,420
83,26,254,628
84,48,136,356
85,55,90,300
86,24,554,310
87,32,434,112
88,11,522,72
89,31,230,226
90,33,348,188
91,44,216,88
92,41,70,524
93,30,32,124
94,54,590,20
95,59,424,146
96,30,352,626
97,18,496,304
98,37,544,220
99,42,310,70
100,28,570,540
101,54,120,392
102,17,590,50
103,44,484,66
104,30,548,354
105,50,98,112
106,58,486,552
107,37,218,256
108,22,72,508
109,46,368,140
110,26,332,276
111,16,262,92
112,27,638,316
113,57,392,538
114,34,396,72
115,35,518,272
116,35,186,500
117,12,66,170
118,39,188,58
119,48,16,504
120,28,222,380
121,21,546,570
122,47,316,18
123,18,550,192
124,10,440,22
125,43,286,256
126,11,322,264
127,53,238,184
128,56,290,620
129,24,198,56
130,42,516,540
131,24,34,488
132,51,426,416
133,32,10,638
134,50,500,524
135,12,540,614
136,10,494,646
137,42,324,576
138,14,564,580
139,53,312,574
140,57,280,354
141,36,332,552
142,18,222,36
143,12,130,574
144,60,258,228
145,10,238,198
146,32,92,406
147,18,28,270
148,48,516,348
149,47,630,18
150,63,626,140
151,34,322,504
152,37,500,608
153,10,22,290
154,14,416,252
155,36,72,600
156,15,70,466
157,9,614,138
158,21,522,602
159,10,634,584
160,64,340,572
161,22,14,22
162,63,602,196
163,56,208,96
164,10,120,426
165,51,12,18
166,31,148,276
167,54,98,194
168,46,490,634
169,49,76,12
170,40,14,184
171,47,72,638
172,55,38,472
173,59,582,426
174,10,72,410
175,56,422,192
176,14,270,478
177,21,440,140
178,18,476,208
179,44,646,484
180,25,380,270
181,30,394,14
182,51,228,112
183,52,32,252
184,28,582,592
185,46,386,216
186,20,578,436
187,37,470,400
188,11,276,504
189,41,178,88
190,10,470,32
191,44,494,586
192,51,144,628
193,42,608,550
194,34,392,448
195,61,60,14
196,62,634,422
197,54,610,68
198,53,360,134
199,44,68,472
200,27,276,146
201,52,408,18
202,56,632,372
203,26,134,564
204,36,14,108
205,62,334,214
206,20,356,310
207,19,622,576
208,19,428,66
209,10,442,130
210,63,102,382
211,44,192,542
212,31,432,236
