Cell Index,Gapdh,Slc1a3,Slc17a7,Snap25,Rasgrf2,Rgs4,Prox1,Plcxd2,Vxn,Pcp4,Nr4a2,Ctgf,Gad1,Gad2,Pvalb,Sst,Vip,Lamp5,Aqp4,Apod,Plp1,Cx3cr1,Pmch,Gfap,Cck,Mbp,Rprm,Enpp2,Nov,Rorb
0,3,0,0,7,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,1,1,0
1,8,0,2,8,0,0,0,0,4,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2,6,0,0,5,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
3,3,0,0,5,0,1,0,2,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
4,4,0,0,11,2,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
5,6,0,0,5,0,0,0,0,3,4,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,4,0,0,1,0
6,4,0,2,7,2,3,1,3,9,4,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,4,0,0
7,3,0,0,13,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,5,0,0,12,0,0,0,0,4,2,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0
9,12,1,1,4,0,4,2,2,5,6,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0
10,7,0,0,13,1,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
11,6,0,2,16,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0
12,4,0,0,10,0,0,0,0,1,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,2,0,0
13,8,1,0,17,0,0,0,0,1,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0
14,6,0,0,6,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,6,0,0,5,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,4,0,0,13,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2
